region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
耀江花园 ,2,2,南,精装,1,4,103,19.2,11.6708,111.39,1300.0
广洋苑 ,3,2,南北,简装,0,4,73,19.2,7.931,85.74,680.0
德安大厦 ,2,1,南,简装,1,16,18,19.2,7.3552,99.25,730.0
广中扩大小区 ,2,1,南,精装,0,14,145,19.2,5.4138,61.88,335.0
好日子大家园B区 ,2,1,南,毛坯,0,14,43,19.2,4.0302,75.68,305.0
海珀旭晖酒店式公寓 ,2,2,南,精装,1,85,21,19.2,8.1061,93.14,755.0
博学家园 ,2,1,南北,毛坯,1,20,101,19.2,5.9229,78.51,465.0
翠湖天地隽荟 ,3,2,南,精装,1,25,17,19.2,18.6112,180.0,3350.0
大宁金茂府 ,3,2,南北,精装,1,23,17,15.0,10.0088,159.86,1600.0
新宏安大厦 ,2,2,南,简装,1,0,91,19.2,7.6874,107.97,830.0
皇都花园(公寓) ,3,2,南,精装,0,14,56,19.2,6.5204,176.37,1150.0
紫叶花园 ,1,1,南,简装,0,3,26,19.2,4.969,48.3,240.0
白金湾府邸 ,3,2,南,精装,1,6,52,19.2,9.343200000000001,278.28,2600.0
恒大华城东林苑 ,3,1,南,简装,0,8,277,19.2,5.9224000000000006,79.36,470.0
金桥瑞仕花园 ,2,2,南,精装,1,11,9,25.0,9.1841,115.2,1058.0
真北二街坊 ,2,1,东南,毛坯,1,1,23,19.2,4.7471000000000005,73.52,349.0
航华四村 ,2,1,南,其他,0,8,152,19.2,3.8306,66.57,255.0
美邻苑 ,2,1,南,精装,0,6,111,19.2,4.1063,73.06,300.0
中海馨园 ,3,2,南,简装,1,9,64,19.2,7.7948,144.97,1130.0
慧芝湖花园 ,2,2,南,精装,1,22,213,19.2,9.0074,79.38,715.0
龙湖郦城 ,3,2,南北,其他,1,24,119,19.2,4.222,104.69,442.0
静安新城七区 ,3,2,南,简装,1,6,89,19.2,6.713500000000001,103.97,698.0
红墅1858(公寓) ,3,2,南,简装,1,6,61,19.2,3.6831,89.6,330.0
仁恒河滨城 ,3,2,南北,精装,1,11,5,19.2,10.189,161.94,1650.0
光华园 ,3,1,南,毛坯,0,6,30,19.2,8.366200000000001,81.28,680.0
中芯花园(公寓) ,2,2,南,精装,1,13,358,19.2,6.1850000000000005,101.86,630.0
金水苑 ,3,2,南北,简装,0,7,131,19.2,1.7962,133.62,240.0
城中花园 ,3,2,南北,精装,1,19,18,19.2,4.2554,122.2,520.0
仁恒河滨城 ,3,2,南,其他,1,22,50,19.2,10.0507,136.31,1370.0
万科蓝山 ,3,2,南,精装,0,6,9,19.2,5.2729,223.79,1180.0
棕榈滩海景城 ,2,2,南北,毛坯,0,9,75,19.2,1.8041,90.35,163.0
翔和雅苑 ,2,2,南,毛坯,0,33,262,19.2,3.5907,70.46,253.0
米兰诺贵都 ,2,2,南,精装,1,28,98,19.2,3.5417,87.53,310.0
高兴花园 ,2,1,南,简装,0,34,50,19.2,4.857200000000001,70.0,340.0
浦江丽都 ,2,2,南北,毛坯,1,36,153,19.2,3.1825,74.47,237.0
范东铁路小区 ,2,1,南,精装,0,3,12,11.0,7.237,61.49,445.0
黄浦新苑(公寓) ,3,2,南,精装,1,1,9,8.0,8.7787,143.53,1260.0
银河新都 ,2,1,南,精装,1,2,9,6.0,4.7015,67.0,315.0
绿地世纪城(二期) ,3,2,南北,精装,1,27,132,19.2,7.9434000000000005,113.05,898.0
联洋花园(二期) ,3,2,南,精装,1,5,43,19.2,8.578000000000001,149.22,1280.0
瑞嘉苑 ,2,2,暂无数据,其他,1,1,122,19.2,8.183200000000001,90.43,740.0
金地湾流域(公寓) ,4,2,南,精装,1,3,259,19.2,7.2948,178.21,1300.0
水清年华花园 ,1,1,南,精装,1,3,206,19.2,5.4976,57.48,316.0
东方花园(一期) ,2,2,南,其他,0,29,29,19.2,5.1623,81.36,420.0
仁恒河滨城 ,3,2,南,精装,1,1,171,19.2,9.182400000000001,151.16,1388.0
新梅共和城 ,3,2,南北,毛坯,1,13,169,19.2,7.248200000000001,125.55,910.0
永嘉新村 ,2,1,南,精装,0,10,128,19.2,12.206100000000001,89.3,1090.0
绿地香颂(奉贤)(公寓) ,1,1,南北,简装,1,10,331,19.2,1.8501,62.16,115.0
同润加州(公寓) ,3,2,南,毛坯,0,10,112,19.2,3.0328,136.84,415.0
永和三村 ,2,0,南,毛坯,0,13,27,19.2,4.544700000000001,58.31,265.0
凯德嘉博名邸 ,2,1,南西,精装,1,16,102,19.2,8.1175,89.93,730.0
国信世纪海景 ,3,2,东南,精装,1,2,25,19.2,9.3598,235.69,2206.0
金地艺境(宝山) ,2,1,南北,精装,1,6,88,19.2,3.5422000000000002,71.99,255.0
张江汤臣豪园(二期) ,2,2,南,简装,1,31,164,19.2,8.651,76.87,665.0
中凯城市之光(静安) ,1,1,南,精装,1,25,89,19.2,12.030800000000001,62.34,750.0
象屿名城 ,2,2,暂无数据,其他,1,24,52,19.2,4.2206,91.22,385.0
金桂小区 ,3,1,南,毛坯,0,23,67,19.2,7.2366,88.44,640.0
翔和雅苑 ,2,1,南,毛坯,0,21,169,19.2,3.6638,69.6,255.0
新舒苑 ,3,2,南,毛坯,0,19,778,19.2,1.5302,103.26,158.0
大同花园南区 ,2,2,西南,简装,1,21,134,19.2,8.7654,93.55,820.0
强生古北花园 ,3,2,南,精装,1,18,43,19.2,10.5062,158.86,1669.0
万景园 ,2,2,南,精装,1,12,42,19.2,6.3586,111.66,710.0
