region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
阳二小区 ,S,1,1,S,2,0,8,99,19.2,1.8385,5.0826,39.35,200.0
仁和都市花园 ,S,3,2,S N,0,0,11,148,19.2,2.7135,6.505400000000002,93.0,605.0
海尚墅林苑 ,S,2,2,S,1,0,6,68,19.2,1.2812,1.9231,88.4,170.0
舜峰家苑 ,S,2,1,S,3,1,10,74,19.2,1.5208,3.9027,75.59,295.0
新凯二期 ,S,2,1,S N,2,0,7,50,19.2,1.0365,3.5876,77.49,278.0
馨宁公寓 ,S,1,0,S,0,1,9,99,19.2,1.875,5.6752,42.29,240.0
西凌新邨 ,S,2,1,S N,2,0,9,73,19.2,1.4688,7.0722000000000005,56.56,400.0
爱博四村 ,S,2,2,S,1,0,10,48,19.2,1.1146,4.8481000000000005,84.57,410.0
万春小区 ,S,1,0,S,1,0,7,15,19.2,0.4896,12.6388,32.44,410.0
爱博二村 ,S,1,1,S,3,1,5,34,19.2,0.7135,4.9231,55.86,275.0
一品漫城(四期)(公寓) ,S,2,2,S N,0,1,10,225,19.2,3.8802,5.6484000000000005,83.21,470.0
芳华路713弄 ,S,2,1,S,2,0,5,68,19.2,1.2448,5.492000000000001,65.55,360.0
四和花园 ,S,3,1,S N,3,1,11,57,19.2,1.2917,8.5386,94.63,808.0
临丰小区 ,S,2,1,S,2,0,10,36,19.2,0.9271,3.3467,65.14,218.0
祝和苑 ,S,1,1,S,0,0,4,55,19.2,1.0052,3.1133,53.0,165.0
长新大楼 ,S,2,0,NW,2,1,6,32,19.2,0.7188,8.0812,53.21,430.0
百汇园 ,S,3,2,S,3,1,9,18,19.2,0.6094,12.2488,182.06,2230.0
中远两湾城 ,S,4,2,S N,3,1,12,32,19.2,0.9375,7.1978,166.44,1198.0
和欣国际花园 ,S,2,2,S,3,1,14,16,25.0,0.584,5.7378,97.6,560.0
金地艺境(宝山) ,S,3,2,S N,3,0,9,26,24.0,0.5875,4.4685000000000015,96.23,430.0
保利御樽苑(公寓) ,S,3,2,S N,0,1,7,31,23.0,0.6174,5.1298,133.73,686.0
政熙路68弄 ,S,2,1,S,3,0,0,94,19.2,1.4688,5.6452,70.68,399.0
南茶园 ,S,2,2,S,0,0,3,19,19.2,0.4062,6.3799,94.83,605.0
东方公寓(虹口) ,S,1,1,S,3,0,2,123,19.2,1.9948,6.0,48.0,288.0
界龙花苑 ,S,3,2,S,3,0,0,20,19.2,0.3125,3.5186,108.0,380.0
万科魅力之城 ,S,3,2,S,3,0,0,67,19.2,1.0469,5.5525,126.97,705.0
南国花园 ,S,3,2,S,3,1,1,64,19.2,1.0365,4.8946000000000005,112.37,550.0
江秋新苑(公寓) ,S,2,2,S,3,0,1,199,19.2,3.1458,2.2662,79.43,180.0
万里双子座 ,S,2,2,S,3,1,2,48,19.2,0.8229,5.9561,97.38,580.0
航华二村二街坊 ,S,2,1,S,3,0,1,60,19.2,0.974,4.5812,68.76,315.0
宝宸共和家园 ,S,2,2,S,3,1,35,160,19.2,3.776,5.0592000000000015,98.83,500.0
绿水家园 ,S,3,2,S,0,1,1,35,19.2,0.5833,4.8391,145.07,702.0
小上海新城 ,S,2,2,S N,3,0,2,58,19.2,0.9792,4.2197000000000005,74.65,315.0
通海一小区 ,S,2,1,S,2,0,0,29,19.2,0.4531,3.4648000000000003,64.94,225.0
新凯二期 ,S,3,2,S,3,0,4,67,19.2,1.1927,3.5026,92.79,325.0
恒安阁 ,S,3,2,E,3,1,1,55,19.2,0.8958,7.8821,147.17,1160.0
奥林匹克花园 ,S,1,2,S,3,1,0,117,19.2,1.8281,4.3005,66.97,288.0
清宁小区 ,S,1,1,S,3,0,0,31,19.2,0.4844,6.4819,49.06,318.0
仁恒滨江园 ,S,2,2,SW,3,1,23,11,19.2,1.0104,11.4786,102.8,1180.0
虹日小区 ,S,2,1,SE,2,0,9,53,19.2,1.1562,5.1302,52.63,270.0
共富四村 ,S,2,1,S,2,0,10,129,19.2,2.3802,3.6718,78.71,289.0
恒大小区 ,S,2,1,S N,0,0,33,51,19.2,2.0,5.0008,64.99,325.0
菊泉新城(菊盛路50弄) ,S,2,2,S N,0,0,32,84,19.2,2.4792,3.7166,75.07,279.0
长宁馥邦苑 ,S,3,1,S,3,1,3,15,19.2,0.3438,6.9007000000000005,118.83,820.0
北蒙三小区 ,S,1,1,S,2,1,30,17,18.0,1.45,8.1365,38.1,310.0
富友嘉园 ,S,2,2,S,3,0,8,241,19.2,4.0573,3.4622,71.92,249.0
