region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
广福城怡福园 ,5,2,东南,其他,0,0,0,23.0,1.4243000000000001,235.21,335.0
时代俊园 ,5,2,东西,其他,0,0,1,22.0,0.8316,184.0,153.0
华润中央公园 ,4,2,东南西南,毛坯,0,0,0,19.0,1.6495000000000002,97.0,160.0
凯旋花园北区 ,1,1,东,其他,0,0,0,13.0,1.1653,55.78,
万科金域国际 ,3,2,东,其他,0,3,0,9.0,1.4607,89.0,130.0
滇池卫城锦尚 ,4,2,南北,毛坯,0,0,4,19.0,1.7714,143.39,254.0
金色交响家园 ,3,2,东南,简装,0,0,1,25.0,1.1591,107.85,125.0
万科白沙润园 ,3,2,西南,精装,0,0,2,25.0,1.5518,87.0,135.0
金色交响家园 ,4,2,东南,精装,0,0,1,24.0,1.2183000000000002,197.0,240.0
金色交响家园 ,3,2,东南,简装,0,0,1,24.0,1.1765,102.0,120.0
金色交响家园 ,4,2,东南,简装,0,0,0,23.0,1.2288000000000001,153.0,188.0
万科白沙润园 ,4,2,东南,精装,0,0,0,22.0,1.8486,151.47,280.0
恒大雅苑 ,2,2,西南,精装,0,0,3,18.0,1.1948,77.84,
万科白沙润园 ,4,2,南北,精装,0,1,0,13.0,1.6956,150.39,255.0
云南省水利水电勘测设计研究院宿舍 ,2,1,南北,精装,0,0,5,11.0,1.754,43.33,
万科魅力之城 ,2,2,西,精装,0,0,0,9.0,1.3288,73.0,
月半湾 ,3,2,南,精装,0,2,12,19.0,1.1983000000000001,121.01,145.0
兴隆花园 ,2,0,南北,其他,0,0,1,9.0,0.9276000000000001,58.0,53.8
甲壳城市 ,1,1,南,其他,0,0,3,9.0,0.8334,42.0,
教场东路168号 ,2,1,东,其他,0,0,2,9.0,1.4782000000000002,50.74,
兴隆花园 ,3,1,西北,其他,0,0,2,8.0,1.0968,62.0,
三合苑 ,2,2,东南,其他,0,0,0,3.0,1.8334000000000001,75.27,138.0
韵景小区 ,3,2,西南,毛坯,0,0,1,19.0,1.2953000000000001,110.4,143.0
未名城A2地块 ,3,2,东南,其他,0,0,2,19.0,1.2446000000000002,111.69,139.0
丰宁小区 ,3,2,西南,其他,0,0,5,19.0,1.1463,67.0,76.8
新亚洲体育城星体花园南区 ,3,2,东南,其他,0,2,11,31.0,0.9602,89.57,
广福城和福园 ,3,2,南北,其他,0,2,1,30.0,1.2143000000000002,140.0,170.0
新亚洲体育城五环锋尚 ,3,2,东南,其他,0,3,1,30.0,1.1905000000000001,105.0,125.0
汽车厂小山生活区 ,3,1,西北,其他,0,1,1,30.0,0.9165000000000001,74.2,
和谐世纪 ,2,1,东,其他,0,3,6,27.0,1.0546,55.0,
建工新城锦绣园 ,2,2,南,其他,0,1,0,26.0,1.0682,88.0,
时代俊园 ,3,2,南,毛坯,0,3,3,25.0,0.8462000000000001,104.0,
时代俊园 ,3,2,西南,其他,0,0,0,24.0,1.0,130.0,130.0
时代俊园 ,4,2,东南,其他,0,0,0,24.0,0.8929,140.0,125.0
菱角塘小区玉菱中里 ,3,2,南,其他,0,0,15,24.0,1.3010000000000002,61.34,79.8
连云巷6号 ,3,1,南,其他,0,3,2,22.0,1.7819,55.0,
复兴村8号 ,3,1,东西,其他,0,0,0,20.0,1.6443,59.6,
新亚洲体育城星宇园 ,3,2,东南,其他,0,1,0,19.0,1.0662,136.0,145.0
新亚洲体育城百合园东区 ,4,2,东西,其他,0,0,2,19.0,1.1828,186.0,220.0
建工新城锦绣园 ,4,2,东南,其他,0,1,0,19.0,1.0350000000000001,143.0,148.0
美丽新世界 ,3,2,南北,其他,0,1,2,19.0,1.1029,113.34,125.0
枫林盛景西区 ,4,2,南北,其他,0,0,9,19.0,1.101,127.16,140.0
世纪城傲春苑 ,4,2,东南,其他,0,0,6,19.0,1.1723000000000001,209.0,245.0
中天花园 ,4,2,南,其他,0,0,3,19.0,1.4858,87.5,130.0
福照苑 ,6,1,南北,简装,0,0,3,19.0,2.1537,185.73,400.0
山海湾 ,4,2,南北,其他,0,0,0,19.0,2.0,195.0,390.0
建工新城锦绣园 ,4,2,南,其他,0,0,1,19.0,1.0868,143.55,156.0
枫林盛景(东区) ,4,2,南北,其他,0,3,2,19.0,1.0,140.0,140.0
果香苑南苑 ,5,3,东北,其他,0,0,1,19.0,0.8064,222.0,179.0
融创春风十里 ,3,2,西南,其他,0,4,3,19.0,1.096,125.0,137.0
春光小区 ,2,1,东南,其他,0,2,3,28.0,1.0741,54.0,
东泰花园一区 ,3,2,东南,精装,0,1,3,19.0,1.0351000000000001,114.0,118.0
时代俊园 ,3,2,东南,其他,0,0,1,25.0,0.9231,130.0,120.0
金沙小区 ,2,1,东,其他,0,0,4,23.0,0.8707,64.32,
凯苑小区 ,4,2,南,其他,0,1,2,21.0,1.0444,124.48,130.0
时代俊园 ,5,2,南北,其他,0,0,0,21.0,0.7838,185.0,145.0
时代俊园 ,3,2,南北,其他,0,0,0,17.0,0.8924000000000001,130.0,116.0
