region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
塘河南村 ,2,1,南,简装,0,8,17,20.0,3.6517000000000004,54.77,200.0
保利东湾 ,2,1,南,毛坯,1,2,6,20.0,2.4847,89.75,223.0
保俶北路90号 ,3,1,南,简装,0,1,1,20.0,5.7893,77.73,450.0
元都新景公寓 ,3,2,南,精装,1,4,16,20.0,2.6708000000000003,114.2,305.0
广宇上东名筑 ,3,2,南北,精装,1,3,5,20.0,3.3712,88.99,300.0
华宇家园 ,3,1,南,精装,0,0,1,20.0,2.1858,91.5,200.0
良渚花苑新村 ,2,2,南,简装,0,0,0,20.0,2.7842000000000002,61.06,170.0
昆仑天籁 ,3,2,南,精装,1,0,13,20.0,3.3814,88.13,298.0
江南铭庭 ,3,2,南,精装,1,0,14,31.0,3.5956,89.0,320.0
坤和西溪里璞园 ,4,2,南,精装,1,0,4,31.0,4.9953,190.18,950.0
世茂江滨花园峻景湾 ,2,2,南,精装,1,0,4,30.0,3.0256000000000003,89.24,270.0
东方俊园 ,3,2,南,简装,1,1,2,29.0,1.8597000000000001,142.5,265.0
皇城花苑 ,3,2,南,简装,0,0,0,27.0,4.1984,148.39,623.0
野风海天城 ,2,2,南,精装,1,0,3,26.0,2.7798000000000003,100.73,280.0
复地连城国际 ,3,2,南,精装,1,0,6,25.0,2.596,88.6,230.0
翠苑四区南园 ,3,1,南北,精装,0,0,0,21.0,4.7342,90.83,430.0
江南铭庭 ,2,2,南北,精装,1,0,2,21.0,3.7680000000000002,87.58,330.0
小河佳苑 ,3,2,南北,其他,1,0,1,21.0,4.113300000000001,104.54,430.0
美达浅草名苑 ,3,2,南,精装,1,0,2,21.0,3.4766000000000004,128.0,445.0
东湖中路92号 ,3,1,南,简装,0,0,13,20.0,1.9362000000000001,85.22,165.0
精欧荣寓 ,2,2,南,简装,1,4,3,19.0,2.7272000000000003,86.17,235.0
保俶北路82号 ,2,1,南,简装,0,4,4,13.0,5.7972,55.89,324.0
湖畔花园风荷苑 ,3,2,南北,简装,0,4,3,11.0,4.3898,138.96,610.0
保健路138-170号 ,2,1,南,精装,0,2,14,10.0,1.8940000000000001,60.72,115.0
采荷小区青莼邨 ,2,1,南,其他,0,2,0,9.0,5.2237,61.26,320.0
世茂江滨花园峻景湾 ,4,2,南,毛坯,1,6,24,20.0,2.2995,187.0,430.0
华元十六街区 ,2,1,南,简装,1,0,97,20.0,2.2676000000000003,44.1,100.0
红街天城公寓 ,3,2,西南西,精装,1,3,98,20.0,1.3219,161.9,214.0
瑞立中央花城 ,3,2,南,简装,1,9,173,20.0,4.0566,138.05,560.0
星河明苑 ,4,2,东南,毛坯,1,7,54,20.0,4.063000000000001,153.83,625.0
城发云锦城 ,3,2,南,毛坯,1,7,71,20.0,2.8938,88.12,255.0
滨江金色江南 ,3,1,南北,简装,1,6,178,20.0,5.5817000000000005,89.58,500.0
