region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
西江月 ,C,3,2,E,0,1,41,92,18.5,3.0432,1.0569,127.74,135.0
雅然居 ,C,2,2,SE,0,1,33,46,18.5,1.9946,1.5185000000000002,95.49,145.0
优品道一期 ,C,4,2,S N,0,1,11,165,18.5,3.0919,2.7082,183.15,496.0
俊发时光俊园 ,C,3,2,SE,1,1,40,39,18.5,2.1459,1.8879,92.7,175.0
雅居乐花园 ,C,4,2,S,0,1,12,168,18.5,3.1784,1.1971,203.0,243.0
凯德世纪名邸 ,C,3,2,E,1,0,63,81,18.5,3.6973,2.2523,91.91,207.0
元益花园 ,C,2,2,N,0,1,39,63,18.5,2.4973,1.4907,87.21,130.0
金阳易诚国际 ,C,2,1,S,0,1,31,66,18.5,2.2432,1.5127000000000002,77.35,117.0
北回归线一期 ,C,3,2,E,0,1,46,441,18.5,8.8919,1.3213,90.82,120.0
锦城名都 ,C,2,2,NE,0,1,37,31,18.5,1.9027,1.9246,81.06,156.0
天鹅湖花园 ,C,3,2,N,0,1,32,156,18.5,3.7405,1.5,208.01,312.0
华润橡树湾A区 ,C,3,1,NW,0,1,107,137,18.5,6.2703,1.6661,54.02,
海科名城 ,C,3,1,S N,0,1,34,212,18.5,4.7243,0.9955,91.42,
洲际银海湾 ,C,2,1,W,0,1,52,17,18.5,2.2432,1.2996,78.49,102.0
千禧河畔C区 ,C,3,2,SE,0,0,42,2,17.0,1.7647,1.3104,87.0,114.0
锦西国际 ,C,2,1,S,3,1,14,128,18.5,2.6054,2.076,33.72,
天合凯旋天际湾 ,C,2,1,E,3,1,13,56,18.5,1.4,2.6383,87.18,230.0
华宇阳光水岸 ,C,2,2,E,2,1,15,351,18.5,6.2595,1.6089,68.37,110.0
顶峰水岸汇景 ,C,3,2,SE,0,1,18,28,18.5,1.1351,2.1022000000000003,149.85,315.0
华润二十四城一期 ,C,3,2,S,2,1,15,54,18.5,1.4432,2.1066000000000003,124.85,263.0
华润二十四城二期 ,C,3,2,SE,3,1,21,17,31.0,0.6387,2.7125,88.48,240.0
沙河壹号一期 ,C,3,2,SE S,0,1,21,92,18.5,2.2865,1.7929000000000002,93.15,167.0
锦西名宅西区 ,C,2,2,SE,0,0,20,86,18.5,2.1514,1.4313,74.06,106.0
桐梓林欧城 ,C,3,2,S,2,1,20,75,18.5,1.973,2.5474,93.43,238.0
金茂光明城市 ,C,3,2,N,0,1,23,83,18.5,2.2162,1.5434,113.39,175.0
蓝谷地天域 ,C,3,2,SE NW,0,1,24,71,18.5,2.0595,1.7368,86.37,150.0
正成名城左岸 ,C,3,2,NE,0,1,25,85,18.5,2.3243,0.932,85.84,
阳曦芙蓉城 ,C,2,2,NW,0,1,16,24,18.5,0.9946,1.7332,85.97,149.0
金港湾花园二期 ,C,3,2,SE,0,0,30,49,18.5,1.9297,1.3142,121.75,160.0
金茂光明城市 ,C,4,1,W,1,1,23,72,18.5,2.0378,1.4873,127.75,190.0
格调城 ,C,3,2,SW NW,1,1,16,168,18.5,3.3297,0.9552,92.13,
蓝光富丽花城 ,C,3,2,N,2,1,29,121,18.5,3.0595,1.2689,112.7,143.0
南湖世纪 ,C,3,2,NW,0,1,26,78,18.5,2.2486,1.3655000000000002,98.87,135.0
橙郡一期 ,C,2,2,S,0,1,17,13,18.5,0.8541,1.7263000000000002,89.79,155.0
师大现代花园 ,C,3,1,E,0,1,27,201,18.5,4.2811,1.2625,112.48,142.0
泊景湾 ,C,3,2,N,0,1,26,24,18.5,1.373,2.3093,115.19,266.0
锦绣光华 ,C,2,2,E,0,1,27,146,18.5,3.3892,1.2988,83.93,109.0
银唐国际 ,C,2,2,S,0,1,26,56,18.5,1.8919,2.2113,75.07,166.0
菊园 ,C,2,1,S N,0,0,28,14,18.5,1.2865,1.1703,64.09,
龙湖三千里B区二期 ,C,2,2,SW,0,1,23,23,18.5,1.2432,2.1477,88.47,190.0
蜀郡 ,C,4,2,S N,0,0,27,141,18.5,3.3081,1.5661,191.56,300.0
天涯庭苑 ,C,3,2,N,0,0,28,88,18.5,2.4865,2.399,124.22,298.0
紫华苑 ,C,3,2,S,0,0,23,35,18.5,1.4378,1.2831,136.39,175.0
锦江城市花园三期 ,C,2,1,NW,3,1,21,19,18.5,1.1027,1.8053,47.64,
万科金域蓝湾一期 ,C,4,2,N,2,1,26,14,18.5,1.2108,3.4445,90.0,310.0
保利叶语 ,C,2,2,W,1,1,28,40,18.5,1.7081,1.5131,66.09,100.0
中冶中央公园 ,C,3,2,SE,0,0,24,22,18.5,1.2649,0.9209999999999999,76.01,
中华名园二期 ,C,2,2,E,0,1,21,4,18.5,0.8595,1.8503,81.07,150.0
西班牙森林二期 ,C,3,2,S,0,1,27,35,29.0,1.0138,1.1713,117.82,138.0
绿地锦天府 ,C,3,2,W,0,1,32,57,24.0,1.6458,2.4464,183.95,450.0
海珀香庭 ,C,1,2,SE NW,3,1,3,263,18.5,4.3784,1.4101,88.65,125.0
首创东公元 ,C,4,1,S,1,1,1,60,18.5,1.0108,1.5089,119.3,180.0
金沙西园一期 ,C,2,1,NE,2,0,1,30,18.5,0.5243,2.4107000000000003,80.89,195.0
新疆石油花园三期 ,C,2,1,S N,1,0,4,217,18.5,3.6703,0.8958,90.43,
