region,total_price,house_info,publishday,attention,unit_price,url,visited
世纪城叠春苑 ,230," | 3室2厅 | 138平米 | 南 | 简装",,1,16667,,0
盛高大城 ,140," | 3室2厅 | 89平米 | 南 | 其他",,1,15731,,0
俊发九夏云水 ,310," | 3室2厅 | 128平米 | 南 北 | 其他",,2,24219,,0
云锡花园一期 ,191," | 4室3厅 | 180平米 | 南 北 | 其他",31,0,10612,,0
夏意雅园 ,130," | 3室2厅 | 123平米 | 南 | 其他",26,8,10570,,2
海伦国际 ,370," | 5室2厅 | 225平米 | 西南 | 其他",25,0,16445,,0
天骄北麓 ,125," | 4室2厅 | 121.34平米 | 东 | 其他",23,1,10302,,0
广福城怡福园 ,335," | 5室2厅 | 235.21平米 | 东南 | 其他",23,0,14243,,0
时代俊园 ,153," | 5室2厅 | 184平米 | 东 西 | 其他",22,1,8316,,0
华润中央公园 ,160," | 4室2厅 | 97平米 | 东南 西南 | 毛坯",19,0,16495,,0
凯旋花园北区 ,," | 1室1厅 | 55.78平米 | 东 | 其他",13,0,11653,,0
万科金域国际 ,130," | 3室2厅 | 89平米 | 东 | 其他",9,0,14607,,3
滇池卫城锦尚 ,254," | 4室2厅 | 143.39平米 | 南 北 | 毛坯",,4,17714,,0
金色交响家园 ,125," | 3室2厅 | 107.85平米 | 东南 | 简装",25,1,11591,,0
万科白沙润园 ,135," | 3室2厅 | 87平米 | 西南 | 精装",25,2,15518,,0
金色交响家园 ,240," | 4室2厅 | 197平米 | 东南 | 精装",24,1,12183,,0
金色交响家园 ,120," | 3室2厅 | 102平米 | 东南 | 简装",24,1,11765,,0
金色交响家园 ,188," | 4室2厅 | 153平米 | 东南 | 简装",23,0,12288,,0
万科白沙润园 ,280," | 4室2厅 | 151.47平米 | 东南 | 精装",22,0,18486,,0
恒大雅苑 ,," | 2室2厅 | 77.84平米 | 西南 | 精装",18,3,11948,,0
万科白沙润园 ,255," | 4室2厅 | 150.39平米 | 南 北 | 精装",13,0,16956,,1
云南省水利水电勘测设计研究院宿舍 ,," | 2室1厅 | 43.33平米 | 南 北 | 精装",11,5,17540,,0
万科魅力之城 ,," | 2室2厅 | 73平米 | 西 | 精装",9,0,13288,,0
月半湾 ,145," | 3室2厅 | 121.01平米 | 南 | 精装",,12,11983,,2
兴隆花园 ,53.8," | 2室0厅 | 58平米 | 南 北 | 其他",9,1,9276,,0
甲壳城市 ,," | 1室1厅 | 42平米 | 南 | 其他",9,3,8334,,0
教场东路168号 ,," | 2室1厅 | 50.74平米 | 东 | 其他",9,2,14782,,0
兴隆花园 ,," | 3室1厅 | 62平米 | 西北 | 其他",8,2,10968,,0
三合苑 ,138," | 2室2厅 | 75.27平米 | 东南 | 其他",3,0,18334,,0
韵景小区 ,143," | 3室2厅 | 110.4平米 | 西南 | 毛坯",,1,12953,,0
未名城A2地块 ,139," | 3室2厅 | 111.69平米 | 东南 | 其他",,2,12446,,0
丰宁小区 ,76.8," | 3室2厅 | 67平米 | 西南 | 其他",,5,11463,,0
新亚洲体育城星体花园南区 ,," | 3室2厅 | 89.57平米 | 东南 | 其他",31,11,9602,,2
广福城和福园 ,170," | 3室2厅 | 140平米 | 南 北 | 其他",30,1,12143,,2
新亚洲体育城五环锋尚 ,125," | 3室2厅 | 105平米 | 东南 | 其他",30,1,11905,,3
汽车厂小山生活区 ,," | 3室1厅 | 74.2平米 | 西北 | 其他",30,1,9165,,1
和谐世纪 ,," | 2室1厅 | 55平米 | 东 | 其他",27,6,10546,,3
建工新城锦绣园 ,," | 2室2厅 | 88平米 | 南 | 其他",26,0,10682,,1
时代俊园 ,," | 3室2厅 | 104平米 | 南 | 毛坯",25,3,8462,,3
时代俊园 ,130," | 3室2厅 | 130平米 | 西南 | 其他",24,0,10000,,0
时代俊园 ,125," | 4室2厅 | 140平米 | 东南 | 其他",24,0,8929,,0
菱角塘小区玉菱中里 ,79.8," | 3室2厅 | 61.34平米 | 南 | 其他",24,15,13010,,0
连云巷6号 ,," | 3室1厅 | 55平米 | 南 | 其他",22,2,17819,,3
复兴村8号 ,," | 3室1厅 | 59.6平米 | 东 西 | 其他",20,0,16443,,0
新亚洲体育城星宇园 ,145," | 3室2厅 | 136平米 | 东南 | 其他",,0,10662,,1
新亚洲体育城百合园东区 ,220," | 4室2厅 | 186平米 | 东 西 | 其他",,2,11828,,0
建工新城锦绣园 ,148," | 4室2厅 | 143平米 | 东南 | 其他",,0,10350,,1
美丽新世界 ,125," | 3室2厅 | 113.34平米 | 南 北 | 其他",,2,11029,,1
枫林盛景西区 ,140," | 4室2厅 | 127.16平米 | 南 北 | 其他",,9,11010,,0
世纪城傲春苑 ,245," | 4室2厅 | 209平米 | 东南 | 其他",,6,11723,,0
中天花园 ,130," | 4室2厅 | 87.5平米 | 南 | 其他",,3,14858,,0
福照苑 ,400," | 6室1厅 | 185.73平米 | 南 北 | 简装",,3,21537,,0
山海湾 ,390," | 4室2厅 | 195平米 | 南 北 | 其他",,0,20000,,0
建工新城锦绣园 ,156," | 4室2厅 | 143.55平米 | 南 | 其他",,1,10868,,0
枫林盛景(东区) ,140," | 4室2厅 | 140平米 | 南 北 | 其他",,2,10000,,3
果香苑南苑 ,179," | 5室3厅 | 222平米 | 东北 | 其他",,1,8064,,0
融创春风十里 ,137," | 3室2厅 | 125平米 | 西南 | 其他",,3,10960,,4
春光小区 ,," | 2室1厅 | 54平米 | 东南 | 其他",28,3,10741,,2
东泰花园一区 ,118," | 3室2厅 | 114平米 | 东南 | 精装",,3,10351,,1
时代俊园 ,120," | 3室2厅 | 130平米 | 东南 | 其他",25,1,9231,,0
金沙小区 ,," | 2室1厅 | 64.32平米 | 东 | 其他",23,4,8707,,0
凯苑小区 ,130," | 4室2厅 | 124.48平米 | 南 | 其他",21,2,10444,,1
时代俊园 ,145," | 5室2厅 | 185平米 | 南 北 | 其他",21,0,7838,,0
时代俊园 ,116," | 3室2厅 | 130平米 | 南 北 | 其他",17,0,8924,,0
金马悦城 ,," | 2室2厅 | 79.23平米 | 西 | 其他",16,2,12117,,0
时代俊园 ,," | 3室2厅 | 104平米 | 南 | 其他",16,0,9135,,1
万科魅力之城 ,130," | 3室2厅 | 89.97平米 | 东 | 精装",16,1,14450,,0
新亚洲体育城星体花园南区 ,165," | 4室2厅 | 142平米 | 南 北 | 其他",15,1,11620,,0
北辰财富中心 ,," | 1室1厅 | 67平米 | 南 | 其他",14,6,8209,,0
俊发湾流海 ,166," | 4室2厅 | 148.5平米 | 西南 | 其他",14,0,11179,,1
广福小区二区 ,210," | 4室2厅 | 143平米 | 南 北 | 简装",,1,14686,,0
海伦国际 ,122.2," | 2室2厅 | 94平米 | 东南 | 精装",,3,13000,,0
实力锦城C组团 ,140," | 4室2厅 | 137.72平米 | 南 | 精装",,2,10166,,0
金色交响家园 ,138," | 4室2厅 | 134.57平米 | 东南 | 精装",25,1,10255,,0
金色交响家园 ,145," | 4室2厅 | 134.69平米 | 东南 | 简装",25,1,10766,,1
金色交响家园 ,145," | 4室2厅 | 133.25平米 | 东南 | 精装",25,3,10882,,1
金色交响家园 ,133," | 4室2厅 | 135平米 | 东南 | 简装",22,2,9852,,2
金色交响家园 ,149," | 4室2厅 | 128.7平米 | 东南 | 简装",21,0,11578,,0
农业厅老干部住宅楼 ,198," | 4室1厅 | 94平米 | 南 北 | 精装",18,2,21064,,0
假日城市 ,110," | 3室2厅 | 101平米 | 南 | 其他",,11,10892,,1
溪麓南郡 ,105," | 3室2厅 | 126.44平米 | 东南 | 其他",,31,8305,,0
合金公寓 ,120," | 3室2厅 | 135.36平米 | 东北 | 精装",,13,8866,,0
俊发湾流海 ,145," | 3室2厅 | 189.84平米 | 东南 | 其他",,11,7639,,1
樱花语幸福里 ,270," | 4室2厅 | 143平米 | 西南 | 其他",25,0,18882,,0
海伦国际 ,160," | 3室2厅 | 117平米 | 东南 | 其他",25,2,13676,,0
荷塘月色 ,218," | 3室2厅 | 135平米 | 南 北 | 其他",25,0,16149,,0
建工新城 ,70.8," | 3室2厅 | 106平米 | 东南 | 精装",24,9,6680,,1
建工新城锦绣园 ,," | 2室2厅 | 88平米 | 西南 | 其他",23,0,11137,,0
建工新城锦绣园 ,," | 2室2厅 | 88平米 | 西南 | 其他",23,0,9660,,0
红星国际广场晶品 ,140," | 2室2厅 | 79平米 | 南 | 其他",21,0,17722,,0
金沙小区 ,," | 3室2厅 | 68.09平米 | 东 | 其他",20,1,10722,,0
英茂花园 ,128," | 3室2厅 | 100.7平米 | 南 北 | 其他",19,1,12712,,0
和谐世纪 ,," | 1室1厅 | 55平米 | 东南 | 其他",19,1,10000,,0
和谐世纪 ,," | 1室1厅 | 58平米 | 东南 | 其他",19,0,10173,,0
金沙小区 ,," | 3室2厅 | 99平米 | 南 北 | 精装",19,3,9192,,1
金色交响家园 ,140," | 4室2厅 | 130.71平米 | 东南 | 其他",18,0,10711,,0
广福城和福园 ,160," | 3室2厅 | 125.33平米 | 东南 | 其他",18,2,12767,,2
时代俊园 ,142," | 5室2厅 | 184平米 | 南 北 | 其他",18,3,7718,,0
新亚洲体育城星体花园北区 ,115," | 3室2厅 | 90平米 | 东南 | 其他",18,0,12778,,1
佳华大厦住宅区 ,288," | 3室2厅 | 151.7平米 | 东 南 | 简装",17,1,18985,,0
中海锦苑 ,110," | 3室2厅 | 95平米 | 南 | 其他",16,0,11579,,0
棕合小区 ,," | 2室2厅 | 57.8平米 | 东南 | 其他",16,3,9343,,0
曙光路南段18号院 ,," | 3室2厅 | 57平米 | 南 | 其他",15,1,13158,,0
清水木华 ,," | 2室1厅 | 90平米 | 南 | 其他",14,7,8667,,0
新亚洲体育城星宇园 ,165," | 4室2厅 | 147平米 | 东南 | 其他",13,1,11225,,1
云岭天骄 ,," | 2室1厅 | 50平米 | 南 | 其他",13,0,19600,,0
昆明市交通技工学校 ,," | 2室1厅 | 47.26平米 | 东南 南 北 | 其他",13,1,11427,,0
未名城A2地块 ,140," | 3室2厅 | 107平米 | 西 | 其他",12,0,13085,,0
翠丽苑 ,365," | 3室2厅 | 165平米 | 东南 北 | 其他",11,0,22122,,0
翠湖太龙公馆 ,347," | 2室2厅 | 91.8平米 | 南 西 | 其他",11,0,37800,,0
灯火阑珊处 ,125," | 3室2厅 | 100.5平米 | 东 | 其他",11,0,12438,,0
万科银海泊岸 ,190," | 3室2厅 | 126平米 | 南 北 | 其他",11,1,15080,,0
百大城市理想 ,135," | 3室2厅 | 73.03平米 | 南 | 其他",11,0,18486,,0
万科魅力之城 ,135," | 3室2厅 | 101平米 | 西 | 精装",10,0,13367,,0
棕树营小区丹宁里 ,," | 3室2厅 | 80平米 | 东南 | 其他",10,3,10000,,0
中产花香四季 ,150," | 3室2厅 | 121.63平米 | 西南 | 其他",10,1,12333,,0
